014411.28-081301.3     10.3785810     10.0014849
014631.99+133506.3     12.0237169     11.1281023
014645.58-001829.9     10.7689238            NaN
014718.40-082449.8     12.1066046      9.6790342
014723.27+144320.9     11.2574072            NaN
014822.62+132142.7     11.8018637     11.1142559
014906.73-101649.2     11.1346827     10.4162359
014917.34-081548.6     11.7698326     11.4118958
014920.84+134813.1     10.6741257      9.7926702
014926.96-001755.1     10.4327078     11.0280628
014942.51+001501.7     12.0530996     11.0018015
014959.27+125658.0     11.1545095     10.7126522
015020.64-092055.6     11.0695057     10.8069601
015044.31+132334.1     11.2184572     10.6118259
015105.80-003426.4     10.3994579            NaN
015134.81-000010.4     10.6563530      9.2015352
015219.34+141206.5     10.6307440     10.8023348
015238.94+000935.5     10.9792824            NaN
015239.31-075913.7     11.0795507     10.7467480
015249.76+002314.5     11.5442076     11.4858294
015259.71-090800.3     10.4488192            NaN
015318.19+000911.3     11.8796263     11.2079973
015324.15-100034.7     11.2030449     10.2147751
015351.08+123836.7     11.4276381     11.2030125
015448.23-093135.0     11.2768517            NaN
015521.69-004149.8     11.0934658     10.1697025
015530.02-085704.0     11.0200024     10.5855656
015538.38-010631.7     11.8473387            NaN
015629.06+000724.2     10.9720354      9.5126886
015658.40+001615.9     10.7740679     10.2543716
015738.10+130931.4     10.7194595     10.1307745
015836.26+010632.0     11.8403692     10.9350252
015838.71+000126.2     11.4189463     10.9414654
015910.05+010514.5     11.1525173     10.6426344
015945.92+000521.4     10.7290430     10.3952942
015950.24+002340.8     11.4074001     11.9250183
015952.96+134554.3     11.4993782     10.8703680
015957.64+003310.4     10.1993532     10.0616121
020011.52-093126.1     11.0083513     10.5333805
020024.11+000535.6     10.3930531     10.5843458
020032.24-003155.8     10.7241650     10.8512964
020036.63-095935.9     10.9856644     10.5879631
020115.53+003135.0     10.7115002     10.0470524
020234.32+000301.7     11.0080099     10.2508316
020258.94-002807.5     11.1484823     10.8921661
020413.08-090818.9     11.8524513            NaN
020431.59-082854.9     11.5308800     10.6929188
020435.18-093154.9     11.6957636     10.8865862
020507.96+125452.7     11.7219810            NaN
020539.97-090750.5     10.4786911            NaN
020724.17-004841.4     10.6466303            NaN
020844.09+140333.0     10.9794130      9.8789635
020900.19-095206.4     11.2178583     10.8919249
021218.32-073719.8     10.5529327            NaN
021259.59-003029.4     10.9147062     11.0482092
021318.29+130643.9     11.0240059     10.5141783
021340.59+134756.0     11.0691843     10.0846539
021359.79+004226.7     10.6273022     10.5629139
021427.86+142339.8     11.2427530     11.1043787
021558.40-011135.9     12.1288042            NaN
021609.52+010130.3     11.0548315     10.5980072
021634.01-005759.2     10.8700380     10.5595121
021647.54-011341.4     11.1461115     10.7216511
021652.47-002335.3     10.8553886            NaN
021702.66-082052.3     11.5344429     11.0966454
021707.87-084743.5     11.1209927     10.2983294
021800.10-094027.7     10.6537466     10.8158178
021859.86+002855.8     11.3130751            NaN
022014.57-072859.2     10.8510771      9.4882345
022113.14+010102.9     10.7864828            NaN
022157.19-072910.3     10.8070116     10.3165226
