objname p  u g r i z j h k w1 w2 w3 w4
003321.77+141626.4        1287      0.0452897      0.0553237      0.1036162      0.1363671      0.2069921      0.2618715      0.4732601      0.5925573      0.4969547      0.5437388      1.9350978      5.9369321
003431.74-001312.7        1342      0.2157743      0.2537893      0.2514655      0.2466197      0.3773903      0.3490505      0.3759238      0.5509731      1.0430781      1.7131299      7.4251103     23.7882271
003511.48-004918.0        1372      0.0520475      0.0823779      0.1790905      0.3329095      0.3795949      1.0444514      1.2540067      1.5890237      1.2494440      1.0969588      2.1100993      5.0905194
003551.42+003545.4        1406      0.0411150      0.0498285      0.0619597      0.0900289      0.1251822      0.2484782      0.4080373      0.3650315      0.3976645      0.4283417      1.5090475      2.7923000
003605.36+140226.0        1417      0.1381655      0.1920980      0.1474350      0.1706028      0.1459232      0.2599490      0.3010924      0.3593605      0.9618709      1.3470705      3.0081737     10.7637129
003618.41-105503.0        1428      0.3397817      0.3981570      0.4400008      0.4337723      0.5497110      0.5263665      0.6765500      0.9203020      2.2300613      3.4497712      7.6966705     17.0436306
003657.17-100810.6        1466      0.2813195      0.3006096      0.3970278      0.5808122      0.6362597      1.1212133      1.7262348      2.0508335      1.6125634      1.6345203      6.8407373     18.6879692
003711.00+002127.8        1473      0.0792867      0.1012150      0.1550926      0.1952331      0.2139102      0.4310109      0.7452464      0.8323967      1.8463618      2.7377281      6.4908700     11.0652723
003719.84+011114.6        1479      0.0407005      0.0900605      0.1381571      0.1710653      0.2436658      0.3099476      0.4013284      0.5586379      1.2031417      1.7955202      3.5180573      8.6449423
003723.49+000812.5        1483      0.1644371      0.1546797      0.1766111      0.1932315      0.2616141      0.3417340      0.5165351      0.7682992      1.3536824      1.6818618      3.7905560      8.8381643
003740.13-090810.0        1493      0.1553102      0.2025881      0.2418764      0.2293570      0.2411039      0.3148388      0.3472961      0.3752584      0.8111792      1.1764956      2.4138091      7.1180673
003752.29-000106.3        1502      0.0138803      0.0245295      0.0220842      0.0335782      0.0303468      0.4525726      0.5024581      0.4364459      0.2883479      0.2512987      0.5892545      2.0948942
003803.16-095521.5        1515      0.0038194      0.0101920      0.0497834      0.0772709      0.1039648      0.2206420      0.2492871      0.4300613      0.3482706      0.2243832      0.3553881      2.5024309
003852.32+153516.2        1544      0.0986279      0.1282123      0.1285116      0.1484935      0.1367549      0.2111000      0.2688437      0.3025035      0.4905879      0.6364881      1.9244335      6.2974119
003931.58-111102.3        1579      0.0476431      0.0727238      0.0756831      0.1244554      0.1464453      0.2272418      0.3586740      0.4897003      0.8470651      1.0227990      2.3200798      5.5765052
004030.88-095359.3        1620      0.1907214      0.2493113      0.2687359      0.2973734      0.3391805      0.3671878      0.3244142      0.6108441      0.6343322      1.0227990      3.4602137      7.8264008
004032.10-001350.8        1621      0.0954993      0.1169619      0.1587051      0.2266490      0.2323975      0.3740143      0.5033845      0.5203917      0.5658702      0.6039351      1.3800757      3.8686736
004038.39+160949.9        1628      0.0289201      0.0462921      0.0929601      0.1203666      0.1824954      0.4618365      0.3527767      0.4706850      0.6878865      0.9713826      2.9532683      6.4977365
004052.14+000057.2        1640      0.2205972      0.2509889      0.2708029      0.2724345      0.2879616      0.2519348      0.2809958      0.2422871      0.5653492      0.9405682      2.7233465      7.1377625
004150.65+000728.1        1681      0.0279769      0.0638689      0.0805530      0.1163208      0.1407710      0.2645381      0.2934268      0.5320230      1.1932098      1.5841281      3.9219577     12.5649881
004213.46+005917.7        1703      0.0441774      0.0847446      0.1416538      0.1649718      0.2973404      0.3859119      0.5747777      0.9177626      1.7567776      2.5929270      5.5603600      8.1801653
004222.29-103743.8        1713      0.9145337      1.1416911      1.0150021      1.0622429      1.3153746      0.8988521      1.2299851      1.8929118      4.1909914      6.6832900     16.5311432     37.7713127
004319.73+005115.4        1759      0.2860224      0.2686105      0.2956655      0.2743377      0.5641881      0.4426783      0.6865938      0.9051704      2.0888958      2.8932788      4.1600919      7.9060960
004341.25+005253.3        1780      0.0031827      0.0250425      0.0622457      0.1291760      0.2431885      0.5139114      0.6575062      1.1332622      2.8412981      5.3234148     12.3226156     21.1038704
004458.68+004319.8        1836      0.0894540      0.0927947      0.1300171      0.1492402      0.2311128      0.2954529      0.5575706      0.5271453      0.5871063      0.6652583      1.3131155      4.3930092
004459.90-103912.1        1837      0.1130316      0.1436806      0.1388001      0.1575004      0.1370511      0.1467196      0.2217685      0.3900591      0.4561596      0.6677137      1.5484704      4.6340647
