#  status file of the mid-IR spectra
#   there are three different tags for each object (see below), only when the combined values 
#                 tag_wave + tag_galsub + tag_visual = 3
#   then the object is used to compute the average templates
#
#         tag_wave:   1 -- complete Spitzer/IRS coverage from 5.2 to 30 microns;  
#                     0 -- no mid-IR spectra or the wavelength coverage is not complete
#         tag_galsub: 1 -- successful galaxy subtraction 
#                     0 -- subtraction cannot be done due to data issues
#                    -1 -- unsuccessful as some negative flux values appears after the subtraction
#         tag_visual: 1 -- quality check passed after visual inspection
#                     0 -- not passed with the reasons left in the 'comment' column
#
# objname        tag_wave  tag_galsub  tag_visual    comment
cassis-21655552-0      1     1     1
cassis-17728000-0      1     1     1
cassis-18978560-0      1     1     0       # radio strong source, highly variable, non-thermal continuum weired SED and  WISE photometry
cassis-17540352-0      1     1     1
cassis-17726720-0      1     1     1
cassis-17726976-0      1     0     1
cassis-17727744-0      1     1     1
cassis-17727488-0      1     0     1
cassis-22391040-0      1     1     1
cassis-17728256-0      1     1     1
cassis-17729536-0      1     1     1
cassis-24164096-0      1     1     1
cassis-24173312-0      1     1     1
cassis-24145408-0      1     1     1      # strong PAH
cassis-21768192-0      1     1     1
cassis-17542912-0      1     0     0      #  BL Lac,  highly variable  weird SED
cassis-17729024-0      1     1     1
cassis-17729792-0      1     1     1
cassis-10476288-0      1     1     1
cassis-23015168-0      1     0     0      ### obscuration, weird SED
cassis-24192000-0      0     -1    1
cassis-24160256-1      1     1     1
cassis-24194560-2      1     1     1
cassis-21768704-0      1     1     1
cassis-22390272-0      1     1     1
cassis-21767680-0      1     1     1
cassis-26906624-0      1     1     1
cassis-25388032-0      1     1     1
cassis-25388544-0      1     1     1
cassis-25389056-0      1     1     1
cassis-26330368-0      1     1     1
cassis-25389312-0      1     0     1
cassis-25976832-0      1     1     1
cassis-26916096-0      0     1     1
cassis-26915840-0      0     1     1
cassis-25977600-0      1     0     1
cassis-24172032-2      1     1     1
