objname u g r i z J H K W1 W2 W3 W4 W3(AGN) W4(AGN) 
PG1022+519 1.1859826 1.7012428 2.3461452 3.0698829 3.6599579 3.0569492713220634 4.1754172041889257 5.4541915634708147 10.4500120261697749 12.3080797598783835 31.1532177141293758 44.7468113149468820 17.6503086 22.1087990
PG1048+342 0.7396446 0.7093862 0.7763986 1.2111365 1.0052842 1.2626652435939785 1.5470340405197174 2.4073009209329226 3.8718345441719491 5.5640407488897683 15.7001177704308716 24.9782548683989312 14.0145016 25.9909897
PG1048-090 -99.9000015 -99.9000015 -99.9000015 -99.9000015 -99.9000015 0.8759679647815728 1.3131062511801566 1.7487606803522786 5.0155295125522228 6.9404927027410563 12.2096414384671075 21.4369054606859386 11.5580769 20.7972107
PG1049-005 1.5327617 1.8170744 1.9340717 1.7559160 2.8600802 2.1187915365710857 2.8177332304178764 4.8431775054916963 10.0072970260096792 15.5378277257057285 47.2392408964603305 96.9978465650026891 45.9796867 94.9714737
PG1100+772 1.9137750 2.1592972 2.2500093 2.0329578 3.4363453 2.5947064463850533 2.7485261521570901 4.0061793245356379 8.3929916345842308 12.6996075959643164 27.1833458213139814 46.5545456677428504 26.7231750 44.5999832
PG1103-006 1.0129673 1.1835411 0.9820647 1.0162983 1.2015622 1.1947807748697497 1.2459478600171652 1.9139490851370953 4.1525683567855571 6.6342266099160314 18.5311729866019625 32.2078765300044978 17.6485157 31.7108288
PG1114+445 1.4554642 1.6662055 1.8283244 3.0082169 2.2883532 3.3797784501486250 3.9691716068207921 7.7612270662757084 13.9288990309889531 22.9187169978901544 70.3238939236844232 133.6478857079378031 68.7183762 133.3051453
PG1115+407 1.7184589 1.6885004 1.7439421 2.3381090 2.0042531 2.1801593093498810 3.0981316924709685 5.2327548271710205 8.9684375889464150 11.4971527644440119 27.8934934747269061 44.5412183921047031 22.9924202 40.4299812
PG1116+215 7.2918792 6.5220265 5.9721231 8.5627804 6.6333327 5.8302642089750858 8.6437038965629434 16.1409983937069264 35.4092550665202097 48.0607232350957077 80.9660421356390287 105.7698997356689006 80.7410812 114.2701035
PG1119+120 2.5279620 3.5444326 4.7826853 6.3463340 7.3152103 6.0323736781560360 7.3977539071792178 9.6367455276708665 16.9323325828408819 24.7622612900372800 115.1073114254234326 220.9846422785526272 100.9220276 205.0003967
PG1121+422 1.3289443 1.4725194 1.5123339 1.9371235 1.5754068 1.4285262557176670 1.8616578720727397 3.3077325275100504 4.8743508979205590 6.8831986247638852 11.4052001251029793 12.2789743644993568 10.1802721 12.9910889
PG1126-041 -99.9000015 -99.9000015 -99.9000015 -99.9000015 -99.9000015 8.6315390284299269 13.5737511821188086 22.7368552276115672 35.1816975096148923 46.1945033168009189 135.8635349898172819 248.8640088189401922 121.4136963 246.5314331
PG1149-110 -99.9000015 -99.9000015 -99.9000015 -99.9000015 -99.9000015 5.2250233468599809 6.0967709428209993 8.5257067417018533 12.3798901258546845 13.7085115387344629 47.8523102890654997 109.9416100305944326 48.3028374 114.3998413
PG1151+117 1.1090648 1.0298624 1.0602739 1.6300981 1.2537345 1.7868505427103103 2.1414102247741327 3.9005907372428976 4.6893947214894869 7.3280816889895783 17.9764077400757323 27.7947065145211631 20.1594181 29.2924461
PG1202+281 0.5415892 0.4924042 0.6084455 0.9595773 0.7930592 1.9993472474801721 2.5020724041735121 4.7068503043510539 7.3844268076509207 10.5339269408463903 33.4736376162017990 78.2640093974706446 31.8919983 72.0030746
