 objname spec_tag w3_spec w4_spec w3_agn w4_agn 
saga-231      1      9.3592606      6.7375021      9.3592606      6.7375021
saga-232      1      7.6943240      4.8938289      7.9592853      5.0576963
saga-234      1      5.4238000      3.0386536      5.5397682      3.1787956
saga-237      1      6.5482740      4.6835523      6.5482740      4.6835523
saga-241      1      8.1222391      5.1163764      8.3649693      5.2478685
saga-242      1     10.3717451      8.0313959     10.3717451      8.0313959
saga-245      1      7.6241574      4.9734178      7.6775017      5.0189948
saga-247      1      9.1306210      6.9488349      9.1306210      6.9488349
saga-249      1     10.4264612      8.0639324     10.4264612      8.0639324
saga-260      1     10.1070089      7.6615615     12.2844191      9.8828526
saga-270      1     10.0955963      7.9343133     10.7143402      8.7452965
saga-325      1     10.4145002      8.2333603     13.8238411           -NaN
saga-326      1     10.8429661      8.8434668     10.8429661      8.8434668
saga-330      1      8.3593111      5.9731603      8.4795408      6.0798903
saga-331      1     10.6860685      8.5762615     10.6860685      8.5762615
saga-332      1      8.2893314      6.5041156      8.2893314      6.5041156
saga-360      1      8.8203945      6.9604979     13.1311455           -NaN
saga-365      1      9.7524700      7.5099030     11.0116854      9.3010168
saga-372      1     10.2016954      8.2525349     12.8573723           -NaN
saga-373      1      6.1960850      4.0523462      6.2515826      4.1334743
saga-390      1      6.1176796      4.2214313      6.1506023      4.2745295
saga-411      1     10.2332840      7.5062947     12.2310982      8.5718632
saga-435      1     10.1518936      7.8079319     11.1297655      8.9585648
saga-452      1      6.9117837      4.1089988      6.9974365      4.1675506
saga-453      1      7.8488407      5.6353521      8.4352436      6.5508752
saga-458      1      7.5629101      5.5689096      7.5629101      5.5689096
saga-461      1      7.5477753      5.0477400      7.5477753      5.0477400
saga-466      1      6.7760563      3.8862324      7.1905208      4.1203766
saga-468      1      9.5844440      7.2156119      9.5844440      7.2156119
saga-470      1      8.9636898      6.7219768      9.3184271      7.2227407
saga-475      1      9.6530361      7.5792899      9.6530361      7.5792899
saga-481      1      7.0202637      4.5466499      7.0522909      4.5745306
saga-483      1      6.6052742      4.3163223      6.6374345      4.3563204
saga-485      1      5.6224279      3.3501706      5.7445998      3.4903111
saga-490      1      6.4651089      4.0088964      6.6670027      4.2292643
saga-493      1      6.2742996      4.0043182      8.0027161           -NaN
saga-497      1      8.2576227      5.6009436      8.8485317      6.1217747
saga-500      1      7.0182099      5.2288718      7.1511283      5.5342841
saga-504      1      9.5302219      7.2560682     10.0426006      7.8537049
saga-505      1      7.1765032      4.5238843      7.1765032      4.5238843
saga-506      1      6.5639310      4.3644242      6.7417526      4.5668030
saga-516      1      7.0109763      4.6586070      7.2117186      4.8520112
saga-519      1      9.6542864      7.2089581      9.6542864      7.2089581
saga-520      1     10.1072025      7.2206144     10.1072025      7.2206144
saga-537      1      5.9294939      3.1310394      6.0767369      3.2419364
saga-540      1      7.2624106      4.2129245      8.1854496      4.6753707
saga-562      1      8.6077881      6.6965361      8.9945297      7.2627892
saga-573      1      6.8360076      4.3700595      6.8360076      4.3700595
saga-582      1      7.3131495      5.2059908      7.3560801      5.2694602
saga-583      1      6.4123054      4.0497122      6.5445604      4.1720786
saga-590      1      6.0386162      4.0530715      6.0386162      4.0530715
saga-592      1      9.5036678      7.3518209     10.0721741      8.1734810
altas-10      1      7.2357793      4.9193869      7.2357793      4.9193869
altas-14      1      8.0211077      6.2283316      8.0211077      6.2283316
altas-64      1      9.0554028      7.0045977      9.0554028      7.0045977
altas-598      1      7.4240990      4.7576303      7.5016332      4.8102107
cassis-26329600-0      1      9.0299883      7.1914110      9.0299883      7.1914110
cassis-17726464-0      1     10.5202932      8.9080229     12.0475035           -NaN
cassis-4738816-0      1      6.4609728      4.2821283      6.4609728      4.2821283
cassis-15083008-0      1      8.5592241      6.4132853      8.5592241      6.4132853
cassis-26328576-0      1      7.9277496      5.6035447      7.9277496      5.6035447
cassis-26332672-0      1      8.1632843      6.2058806      8.1632843      6.2058806
cassis-24153344-3      1      9.8952065      7.7118750      9.8952065      7.7118750
cassis-15083520-0      1      6.9710517      4.9002275      6.9710517      4.9002275
cassis-17725952-0      1      9.1850119      6.9382315      9.4284821      7.1597042
cassis-15082496-0      1      7.7353773      5.3713970      7.8410048      5.4711666
cassis-24151040-0      1      9.5579662      6.9755225      9.5579662      6.9755225
cassis-24172288-0      1      9.4227076      6.9182029      9.4227076      6.9182029
cassis-15078912-0      1      9.1551600      7.2478166      9.1551600      7.2478166
cassis-4164352-0      1      7.1715474      4.8845382      7.1715474      4.8845382
cassis-4674304-0      1      7.5287967      5.4873590      7.5287967      5.4873590
cassis-24193536-1      1      9.8539467      7.9644079     10.4975872      8.9243174
cassis-17728000-0      1     11.3514414      9.4838724     11.3514414      9.4838724
cassis-17726720-0      1     10.4280043      8.3313990     10.4280043      8.3313990
cassis-17726976-0      1      9.6533337      8.1526623      9.6533337      8.1526623
cassis-17727488-0      1     11.0925894      8.8964481     11.0925894      8.8964481
cassis-17728256-0      1     11.4957905      9.6762447     11.4957905      9.6762447
cassis-17729536-0      1     11.0948868      9.3123789     11.0948868      9.3123789
cassis-24145408-0      1      8.8791037      6.7789111      9.6697531      7.8007159
cassis-17729024-0      1     10.0452347      7.8579168     10.0452347      7.8579168
cassis-26330368-0      1      7.7699928      5.7261271      7.7699928      5.7261271
