# WISE W3 and W4 synthesis photometry flux from the Spitzer/IRS spectra
# objname     tag        f_{W3, tot}    f_{W4, tot}    f_{W3, AGN}   f_{W4, AGN}
saga-190      1      8.8559837      6.5860991      8.8559837      6.5860991
saga-193      1      8.5323715      6.1959662      8.5323715      6.1959662
saga-196      1     10.0324163      7.6369963     10.0324163      7.6369963
saga-198      1     10.5085468      8.2612047     10.5085468      8.2612047
saga-199      1      9.6432438      7.2805281      9.6432438      7.2805281
saga-201      1      6.6827412      4.2750983      6.7158513      4.3058753
saga-202      1     10.0951891      7.9736438     10.0951891      7.9736438
saga-203      1      7.4224911      5.1006799      7.4224911      5.1006799
saga-206      1      8.0084124      5.5858397      8.0084124      5.5858397
saga-207      1      5.9148273      3.7430639      5.9148273      3.7430639
saga-208      1      6.4103208      3.3784730      7.0385165      3.7397344
saga-209      1      8.8460207      6.8055577      9.2997417      7.5699706
saga-211      1      8.9873171      6.9980021      8.9873171      6.9980021
saga-215      1     10.1150723      7.7902822     10.9194107      8.4282894
saga-216      1      6.2790122      4.0769238      6.2790122      4.0769238
saga-217      1      7.5400124      4.7609210      8.1458616      5.1044455
saga-224      1      6.6466413      4.2370820      6.8510346      4.4115286
saga-226      1      5.6431642      2.6699097      5.8812666      2.8335094
saga-230      1      6.1976123      3.6602085      6.5471277      4.0140305
saga-231      1      9.3592606      6.7375021      9.3592606      6.7375021
saga-232      1      7.6943240      4.8938289      7.9596786      5.0579281
saga-234      1      5.4238000      3.0386536      5.5410829      3.1804023
saga-237      1      6.5482740      4.6835523      6.5482740      4.6835523
saga-241      1      8.1222391      5.1163764      8.3571987      5.2438684
saga-242      1     10.3717451      8.0313959     10.3717451      8.0313959
saga-245      1      7.6241574      4.9734178      7.6754537      5.0172510
saga-247      1      9.1306210      6.9488349      9.1306210      6.9488349
saga-249      1     10.4259996      8.0639324     10.4259996      8.0639324
saga-260      1     10.1070089      7.6615615     12.2835817      9.8819790
saga-270      1     10.0955963      7.9343133     10.7926912      8.8604937
saga-282      1      9.8955336      7.6232800     11.1008253      8.7814169
saga-325      1     10.4145002      8.0492802     14.0312414           -NaN
saga-326      1     10.8423567      8.8434668     10.8423567      8.8434668
saga-330      1      8.3593111      5.9731603      8.3593111      5.9731603
saga-331      1     10.6771088      8.5474443     10.6771088      8.5474443
saga-332      1      8.2893314      6.5041156      8.2893314      6.5041156
saga-335      1      4.6564665      2.1609993      4.6564665      2.1609993
saga-360      1      8.8203945      6.9604979           -NaN           -NaN
saga-365      1      9.7493010      7.5099030     10.9565268      9.2152500
saga-372      1     10.2016954      8.2525349     14.0412912           -NaN
saga-373      1      6.1960850      4.0523462      6.2542615      4.1374397
saga-390      1      6.1176796      4.2214313      6.1547341      4.2812634
saga-411      1     10.2332840      7.5062947     12.2155342      8.5669365
saga-424      1      9.0700970      7.0883107      9.3014917      7.4529519
saga-435      1     10.1518936      7.8079319     11.2260036      9.0844412
