# sample-id:  pg --- Palomar-Green Quasars
#             altasXdr7qso --- AGN sample matched from ALTAS and Shen+11 SDSS DR7 Quasar catalog
#             altasXdr7sy1 --- AGN sample matched from ALTAS and Broad-line AGNs in the SDSS DR7 Main Galaxy Sample
#             cassisXdr7qso --- AGN sample matched from CASSIS and Shen+11 SDSS DR7 Quasar catalog
#             cassisXdr7sy1 --- AGN sample matched from CASSIS and Broad-line AGNs in the SDSS DR7 Main Galaxy Sample
#
# objname RA  Dec  sample-id
saga-505 189.6809998 9.4601698 saga
saga-506 171.5099945 34.5800018 saga
saga-516 220.6699982 5.4064598 saga
saga-519 160.2449951 58.2844009 saga
saga-520 250.0820007 40.6290016 saga
saga-532 158.0420074 6.8681598 saga
saga-537 220.1589966 53.5045013 saga
saga-540 247.4700012 24.4440002 saga
saga-541 41.0606995 -8.7391195 saga
saga-544 165.5540009 64.9903030 saga
saga-562 163.5899963 58.3959007 saga
saga-565 129.3529968 14.9722004 saga
saga-569 215.7310028 32.8506012 saga
saga-573 252.0789948 30.3696995 saga
saga-574 48.7559013 42.0358009 saga
saga-575 218.6580048 5.5044899 saga
saga-577 199.8079987 13.3418999 saga
saga-578 185.8509979 2.6790099 saga
saga-582 207.4700012 2.0791900 saga
saga-583 229.7810059 52.1016998 saga
saga-590 140.9290009 22.9090996 saga
saga-592 258.9599915 59.5969009 saga
altas-8 131.4112549 34.3455544 altasXdr7qso
altas-10 156.8541718 12.3222218 altasXdr7qso
altas-12 194.5308380 23.4894447 altasXdr7qso
altas-14 210.7133331 26.5216675 altasXdr7qso
altas-38 214.7841644 6.4763889 altasXdr7qso
altas-63 258.4683838 58.7003326 altasXdr7qso
altas-64 258.0309448 58.7984428 altasXdr7qso
altas-71 259.7595520 59.6210823 altasXdr7qso
altas-72 261.7694702 59.6268349 altasXdr7qso
altas-77 217.8840485 34.2383041 altasXdr7qso
altas-78 217.9915009 34.2805824 altasXdr7qso
altas-79 219.3699951 34.7632217 altasXdr7qso
altas-80 130.7912445 29.7346935 altasXdr7qso
altas-109 249.4143677 41.7299995 altasXdr7qso
altas-115 249.8784637 41.0038071 altasXdr7qso
altas-122 248.8795471 41.0076103 altasXdr7qso
altas-130 241.6577911 53.8357239 altasXdr7qso
altas-135 242.5296326 53.9705544 altasXdr7qso
altas-136 249.6976318 42.1949463 altasXdr7qso
altas-144 250.0670471 41.3503876 altasXdr7qso
altas-145 249.2592926 41.5061684 altasXdr7qso
altas-146 249.9702454 41.0624428 altasXdr7qso
altas-150 240.7123260 54.8494720 altasXdr7qso
altas-165 248.6047058 40.6979446 altasXdr7qso
altas-169 250.0764160 40.9703064 altasXdr7qso
altas-191 211.1616669 43.4519463 altasXdr7qso
altas-206 213.9427948 11.4953890 altasXdr7qso
altas-212 151.3226318 43.7692490 altasXdr7qso
altas-310 123.0022507 40.4702759 altasXdr7qso
altas-572 147.4212494 29.9219437 altasXdr7qso
altas-598 357.9837646 -1.1536111 altasXdr7qso
