objname u g r i z J H K W1 W2 W3 W4
PG1322+659      1.2048106      1.3199517      1.3650094      1.8580791      1.5874107      1.8556166      2.5935814      4.8298140      7.6333785     11.3185368     22.9533634     39.1873665
PG1341+258      1.0645256      1.3212043      1.7814736      2.6539834      2.7374051      1.9737322      2.8151393      3.8577173      6.8788652      8.5151110     20.9679470     41.6943665
PG1351+236      0.8988060      1.9036903      3.1478667      4.4069448      5.4025588      5.1818905      6.3606262      7.3507285      8.0670881      7.8811626     11.6696072     11.2257652
PG1351+640      4.8647451      5.6184173      5.8997970      7.8577809      7.1253991      6.4045444      7.3909435     11.9214859     24.8608971     37.6175308    145.9819183    381.5820618
PG1352+183      1.0894681      1.0173901      1.0168022      1.5271125      1.1901189      1.5881380      2.0792172      3.6908839      7.0650754     10.0320644     25.7496834     31.8626461
PG1354+213      0.7022366      0.6931694      0.6969936      0.6456392      1.1232688      0.6505613      1.0712723      1.5802667      3.5214117      5.2262516     13.1989021     27.4793873
PG1402+261      2.9862244      2.7833507      2.5072744      3.0570948      2.4955485      2.7446580      4.5572186      9.0517054     19.3515968     28.3785572     66.0832291    105.1413879
PG1404+226      1.1711341      1.4518276      1.4141665      1.9819226      1.6372749      1.9146448      2.4859929      3.7977850      5.7745318      7.6452255     17.0980816     23.7953854
PG1411+442      5.5818205      6.1745706      5.9522228      6.3326769      7.5516939      7.6223388     10.2683315     16.6697998     29.9720745     44.1967468     91.2552948    122.5543747
PG1415+451      0.7893151      1.1135782      1.5629958      2.2936091      2.5224638      3.7435896      5.5245876      8.4943542     10.3542061     13.2614279     28.4333267     48.0058250
PG1416-129    -99.9000015    -99.9000015    -99.9000015    -99.9000015    -99.9000015      1.1315877      1.4057233      3.0586543      4.5197749      6.1971254     14.7483091     27.2536144
PG1425+267      0.8104789      0.8546775      0.8413507      0.8041651      1.4954824      1.3405660      1.7198868      2.4724662      4.7327852      7.5126004     20.8068733     41.3860931
PG1426+015      5.3378568      5.5833497      5.9539943      9.7383327      8.3458052      9.7026024     14.1221199     23.8303490     28.9145737     38.2111664    101.9522705    178.1861420
PG1427+480      0.6061474      0.5951455      0.6578298      0.9037409      0.7144789      1.3112582      1.6607332      2.6985495      3.6300850      5.5486879     15.7390795     40.5003090
PG1435-067    -99.9000015    -99.9000015    -99.9000015    -99.9000015    -99.9000015      2.5170290      3.2322123      5.8335161      7.5147891     11.8738155     28.1038189     39.7505417
PG1440+356      3.3835118      3.9522438      4.9544253      5.9728346      6.4704475     10.6681290     16.2143631     25.1148396     35.3115501     43.9127159     67.5294724    138.3494263
PG1444+407      1.6790811      1.6842676      1.7212725      1.4448531      1.8197398      1.8624655      2.5509379      4.5827947      8.7079678     12.9238024     34.6468391     59.7295303
PG1448+273      1.4940308      2.6394753      3.3202415      4.5733328      4.5541763      5.5576119      7.2027755     10.0538034     11.3114109     15.0449343     45.4712906     84.5561142
PG1501+106      4.6891708      5.7106872      7.7126555     10.3386774     10.8516674      9.7294493     12.7967558     17.1842422     26.0565434     37.1698074    190.4069061    438.8996277
PG1512+370      0.7327526      0.7954469      0.7605597      0.7243288      1.2873528      1.0707504      1.3474103      2.2117212      4.1640582      6.6464586     14.7069292     27.9797840
PG1519+226      1.0531379      1.1521313      1.2526908      2.0113606      1.7619027      2.3040304      3.7661695      6.8285799     12.2100315     17.0683022     40.1373405     60.3358307
PG1534+580      2.1143353      3.4661274      5.1070619      6.2072792      7.3077807      5.7396874      7.0453062      8.9439716     20.7547150     27.1013107     84.4578629    163.5464783
PG1535+547      2.1637590      3.2429664      3.9617150      5.0324821      5.5612297      6.1672029      9.4427805     14.7750988     26.5165367     33.0666580     56.9810486     75.8544083
PG1543+489      0.9690097      1.0820507      1.0979261      1.0918901      1.3541281      1.3368671      1.9746943      3.6942849      8.0004940     12.4334116     42.2861214     93.4467621
PG1545+210      2.1343944      2.2479906      2.1760788      2.2436752      3.0235500      1.8590379      2.1792140      3.5410364      7.8400130     11.3498545     19.6802883     35.7671967
PG1552+085      1.1627859      1.5967593      1.7318722      2.4544508      2.0957105      2.8740096      3.5342712      5.4141512      8.6599779     10.9493999     22.5143280     28.5214024
PG1612+261      1.1119734      1.2682949      1.6365082      2.6030989      1.9726917      2.9956305      4.2884455      7.4736094     11.8882189     14.9482479     38.5479202     89.3037262
PG1613+658    -99.9000015    -99.9000015    -99.9000015    -99.9000015    -99.9000015      8.6394930     10.4496050     18.1271858     25.9368229     37.3413734     90.1472549    167.3411560
PG1617+175      2.5625682      2.2827959      2.1449060      3.4381099      2.7237864      2.9113085      3.9255443      7.1834054     20.7999992     23.5174541     38.2630615     49.8781204
PG1626+554      2.2628784      2.0563712      1.9507684      3.0945261      2.2996612      2.7547884      3.4347875      5.6745362      8.9932528     11.7216921  31674.0000000   8363.0000000
PG1700+518    -99.9000015    -99.9000015    -99.9000015    -99.9000015    -99.9000015      4.7477541      6.3664875     10.7530184     23.9837341     36.3237190     99.6651993    181.9548035
PG1704+608      2.0706995      2.4643366      2.9160061      3.0797174      4.2879696      3.4937210      4.1792645      7.0913739     15.1745834     22.3352242     40.4757080     97.6844025
PG2112+059      1.4675893      2.0100615      2.2585607      2.5986967      2.7987847      2.3533592      2.9998524      4.8031969     11.6712341     19.5970325     44.2763557     68.5232315
PG2130+099      4.8072891      5.1926923      4.7828317      7.8050117      6.8877225     11.6866016     20.4691544     36.0023117     47.1972618     66.9561234    177.2967072    312.5700073
PG2209+184      1.4054803      1.9075706      2.8476861      4.6581235      5.1180754      4.0076356      4.9192610      6.3552170     10.6541004     12.6063776     15.4969559     16.4951115
PG2214+139      4.2671804      5.1825223      6.7425513     10.4786291     10.0517979      7.7927051     11.7246494     19.3878841     38.1168327     48.7293129     76.1003799     97.8122025
PG2233+134      1.1110716      1.1439896      1.1497738      1.0165968      1.4154885      0.9729449      1.1617157      1.9821219      5.2277737      8.2298193     22.5797100     52.0937843
